Settlement,Raw Sugar,Crude Oil,Wheat,Corn,Arabica Coffee,Gold,Soybean,Dow Jone,RBOB Gasoline,Specs Net Long,Line(QBRL=),Line(QTHB=),Line(QINR=),Line(Q.DXY),Line(QAUD=)
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,,ค่าเงินบราซิล,ค่าเงินไทย,ค่าเงินอินเดีย, Dollar Index,ค่าเงินออสเตรเลีย
21/4/2017,16.41,49.62,404.5,357,129.85,1287.4,951,20547.76,1.6445,24230,3.1483,34.38,64.61,99.778,0.7526
24/4/2017,16.24,49.23,401.75,359.25,129.5,1275.8,961.25,20763.89,1.6214,5725,3.1475,34.35,64.63,99.977,0.7542
25/4/2017,16.18,49.56,412,365,129.9,1265.6,954.5,20996.12,1.623,-17254,3.1271,34.34,64.49,99.092,0.7566
26/4/2017,15.38,49.62,412.25,359,128.15,1262.1,945.75,20975.09,1.5903,-26241,3.1459,34.43,64.33,98.785,0.7535
27/4/2017,15.18,48.97,420.75,362,127.1,1263.7,945.75,20981.33,1.55,-27550,3.171,34.47,64.11,99.045,0.7472
28/4/2017,16.04,49.33,424.75,358,131.05,1266.1,945.25,20940.51,1.548,-6314,3.1832,34.59,64.1,99.076,0.7461
1/5/2017,16.18,48.84,452.75,369.25,133.6,1253.3,959,20913.46,1.5272,-30445,3.1758,34.58,64.27,99.05,0.7484
2/5/2017,15.88,47.66,454.75,364,134,1255.1,958,20949.89,1.5136,-59141,3.1755,34.59,64.24,99.077,0.7523
3/5/2017,15.77,47.82,450.5,366.25,135,1246.4,965.5,20957.9,1.53,-71751,3.1514,34.46,64.15,98.976,0.7535
4/5/2017,15.37,45.52,432.5,358,132.7,1226.5,965.25,20951.47,1.48,-94188,3.1644,34.54,64.15,99.209,0.7421
5/5/2017,15.31,46.22,438,361.75,133.1,1224.8,963,21006.94,1.50,-116336,3.188,34.61,64.2,98.797,0.7407
8/5/2017,15.38,46.43,432.5,356.75,134.55,1225.3,956.25,21012.28,1.52,-120108,3.1762,34.66,64.3,98.648,0.7418
9/5/2017,15.44,45.88,427,358.25,132.8,1214.3,965.25,20975.78,1.49,-113722,3.197,34.64,64.34,99.06,0.7386
10/5/2017,15.84,47.33,427.75,365.25,134.3,1217.3,961.75,20943.11,1.54,-106879,3.1896,34.77,64.67,99.658,0.7344
11/5/2017,15.63,47.83,429.75,360.5,131.9,1222.7,956,20919.42,1.56,-72137,3.1666,34.76,64.59,99.669,0.7363
12/5/2017,15.51,47.84,429,361.75,132.6,1226.2,954,20896.61,1.58,-84136,3.1399,34.7,64.39,99.623,0.7376
15/5/2017,15.61,48.85,428.5,367.75,131.25,1228.6,965.25,20981.94,1.60,-121826,3.1209,34.65,64.24,99.252,0.7385
16/5/2017,15.88,48.66,424.5,367.75,129.25,1235,976.25,20979.75,1.60,-133284,3.1105,34.54,64.04,98.911,0.7412
17/5/2017,16.3,49.07,426.5,371.5,132.2,1257.5,975.75,20606.93,1.60,-117659,3.0961,34.46,64.03,98.105,0.7426
18/5/2017,16.03,49.35,426,366,127.4,1251.7,944.75,20663.02,1.6063,-103686,3.1378,34.47,64.12,97.575,0.7431
19/5/2017,16.38,50.33,438,372.5,132.1,1252.7,953,20804.84,1.6523,-91794,3.3665,34.51,64.87,97.879,0.7416
22/5/2017,16.51,50.73,436,375,130.6,1260.7,956.5,20894.83,1.6626,-73528,3.2527,34.32,64.56,97.142,0.7459
23/5/2017,15.87,51.47,430.5,369.5,130.25,1254.8,948.25,20937.91,1.6614,-89122,3.2653,34.3,64.48,96.984,0.7475
24/5/2017,15.67,51.36,432.75,371.25,128.55,1252.4,948.25,21012.42,1.6526,-106220,3.27,34.43,64.87,97.351,0.7474
25/5/2017,15.66,48.9,431.25,369.25,129.3,1255.8,939.5,21082.95,1.6093,-103369,3.2774,34.33,64.75,97.238,0.7502
26/5/2017,15.05,49.8,437.5,374.25,131.2,1267.6,926.5,21080.28,1.6426,-113942,3.2729,34.13,64.55,97.248,0.7452
29/5/2017,15.05,49.8,437.5,374.25,131.2,1267.6,926.5,21080.28,1.6426,-110474,3.2598,34.04,64.51,97.442,0.7446
30/5/2017,15.02,49.66,433.25,367,132.1,1262.1,912.75,21029.47,1.6389,-68639,3.256,34.1,64.54,97.442,0.7436
31/5/2017,14.87,48.32,431.75,372,129.35,1272,916,21008.65,1.6122,-70720,3.2572,34.11,64.62,97.28,0.7464
1/6/2017,14.23,48.36,430.75,370.5,127.7,1267,912.25,21144.18,1.6014,-20295,3.2262,34.03,64.51,96.922,0.7429
2/6/2017,13.74,47.66,433.25,372.75,125.55,1276.8,921.25,21206.29,1.5771,2354,3.2495,34.14,64.44,97.198,0.7372
5/6/2017,13.89,47.4,430,373,128.45,1279.3,922,21184.04,1.5381,14679,3.2472,34.03,64.4,96.715,0.7441
6/6/2017,13.98,48.19,438,377.25,125.55,1294.4,923.5,21136.23,1.5545,15412,3.2967,34,64.35,96.799,0.7483
7/6/2017,14.14,45.72,446,384.75,125.75,1290.1,930.75,21173.69,1.4913,-88677,3.2772,33.94,64.42,96.636,0.7506
8/6/2017,14.34,45.64,453.75,385.75,126.35,1276.3,938,21182.53,1.4919,-109079,3.2685,34.02,64.41,96.748,0.7546
9/6/2017,14.27,45.83,451.5,387.75,126.55,1268.5,941.5,21271.97,1.5017,-84419,3.2607,34.07,64.24,96.918,0.7542
12/6/2017,14.02,46.08,442.75,377.25,127.6,1266.1,931.25,21235.67,1.488,-42805,3.2959,34.05,64.24,97.274,0.7526
13/6/2017,13.79,46.46,457,381,126.4,1265.8,932.5,21328.47,1.4995,-28986,3.3179,34.04,64.47,97.138,0.7539
14/6/2017,13.62,44.73,457.5,377,125.55,1272.8,931.75,21374.56,1.4327,-103019,3.3145,33.9,64.32,96.975,0.7535
15/6/2017,13.47,44.46,465.25,379.5,125.8,1252.2,934.75,21359.9,1.4357,-166533,3.2739,33.9,64.23,96.939,0.7585
16/6/2017,13.44,44.74,473.5,384,123.55,1254,939,21384.28,1.4548,-183371,3.274,33.96,64.54,97.433,0.7576
